run_id,device_id,payload_number,message_id,send_timestamp_ns,publish_status,publish_rc,topic,raw_payload
RUN_20260707_185505_1PPV,002,1,RUN_20260707_185505_1PPV-002-1,1783425305122373600,SUCCESS,0,sipk/device1/data,"002,70.29,33.02,91.44,13.73,2.51,4.79,19.39,3.520732,98.565238,32.05,2.08,13.55,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-002-1,1783425305122373600"
RUN_20260707_185505_1PPV,003,1,RUN_20260707_185505_1PPV-003-1,1783425305182992800,SUCCESS,0,sipk/device1/data,"003,66.94,31.22,88.2,16.86,8.84,4.28,27.47,3.555293,98.794346,10.18,4.39,16.79,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-003-1,1783425305182992800"
RUN_20260707_185505_1PPV,004,1,RUN_20260707_185505_1PPV-004-1,1783425305244728700,SUCCESS,0,sipk/device1/data,"004,61.94,30.49,86.88,67.24,8.98,2.25,3.55,3.512102,98.714274,64.16,4.0,5.29,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-004-1,1783425305244728700"
RUN_20260707_185505_1PPV,005,1,RUN_20260707_185505_1PPV-005-1,1783425305300407400,SUCCESS,0,sipk/device1/data,"005,74.4,34.42,93.96,27.38,4.01,4.37,7.95,3.679478,98.500683,66.59,4.33,27.97,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-005-1,1783425305300407400"
RUN_20260707_185505_1PPV,006,1,RUN_20260707_185505_1PPV-006-1,1783425305356183300,SUCCESS,0,sipk/device1/data,"006,81.83,30.7,87.26,21.24,4.18,4.7,10.24,3.658457,98.710241,76.21,4.97,9.12,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-006-1,1783425305356183300"
RUN_20260707_185505_1PPV,007,1,RUN_20260707_185505_1PPV-007-1,1783425305411557800,SUCCESS,0,sipk/device1/data,"007,65.57,31.68,89.02,16.11,4.37,0.49,9.13,3.512582,98.589833,69.23,0.42,11.73,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-007-1,1783425305411557800"
RUN_20260707_185505_1PPV,008,1,RUN_20260707_185505_1PPV-008-1,1783425305468275200,SUCCESS,0,sipk/device1/data,"008,72.29,29.69,85.44,8.64,9.08,2.81,25.82,3.553458,98.625123,27.14,3.58,23.31,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-008-1,1783425305468275200"
RUN_20260707_185505_1PPV,009,1,RUN_20260707_185505_1PPV-009-1,1783425305523448700,SUCCESS,0,sipk/device1/data,"009,69.04,26.84,80.31,79.32,8.62,4.66,25.76,3.515225,98.705172,9.14,3.14,5.6,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-009-1,1783425305523448700"
RUN_20260707_185505_1PPV,010,1,RUN_20260707_185505_1PPV-010-1,1783425305579468300,SUCCESS,0,sipk/device1/data,"010,60.89,33.08,91.54,48.09,3.39,0.26,17.1,3.66606,98.650792,8.73,3.19,8.09,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-010-1,1783425305579468300"
RUN_20260707_185505_1PPV,011,1,RUN_20260707_185505_1PPV-011-1,1783425305635460100,SUCCESS,0,sipk/device1/data,"011,63.54,28.04,82.47,72.08,8.28,0.66,6.6,3.609673,98.571969,65.13,0.58,6.53,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-011-1,1783425305635460100"
