run_id,device_id,payload_number,message_id,send_timestamp_ns,publish_status,publish_rc,topic,raw_payload
RUN_20260707_190746_20PPV,002,1,RUN_20260707_190746_20PPV-002-1,1783426066246259000,SUCCESS,0,sipk/device1/data,"002,84.7,27.08,80.74,15.37,7.19,1.55,6.2,3.696315,98.5232,22.57,3.77,9.6,07/07/2026,19:07:46,RUN_20260707_190746_20PPV-002-1,1783426066246259000"
RUN_20260707_190746_20PPV,002,2,RUN_20260707_190746_20PPV-002-2,1783426066310422600,SUCCESS,0,sipk/device1/data,"002,60.51,27.67,81.81,22.42,6.51,4.52,23.45,3.516682,98.681403,79.6,1.84,9.89,07/07/2026,19:07:46,RUN_20260707_190746_20PPV-002-2,1783426066310422600"
RUN_20260707_190746_20PPV,002,3,RUN_20260707_190746_20PPV-002-3,1783426066371757600,SUCCESS,0,sipk/device1/data,"002,68.96,29.99,85.98,64.29,7.83,0.89,12.68,3.695174,98.633243,41.75,1.78,20.24,07/07/2026,19:07:46,RUN_20260707_190746_20PPV-002-3,1783426066371757600"
RUN_20260707_190746_20PPV,002,4,RUN_20260707_190746_20PPV-002-4,1783426066430105400,SUCCESS,0,sipk/device1/data,"002,82.0,26.67,80.01,65.65,2.03,2.99,26.19,3.637673,98.620552,69.84,4.79,29.67,07/07/2026,19:07:46,RUN_20260707_190746_20PPV-002-4,1783426066430105400"
RUN_20260707_190746_20PPV,002,5,RUN_20260707_190746_20PPV-002-5,1783426066486532600,SUCCESS,0,sipk/device1/data,"002,66.51,26.48,79.66,44.51,1.43,4.09,20.94,3.658557,98.747787,1.3,1.0,29.76,07/07/2026,19:07:46,RUN_20260707_190746_20PPV-002-5,1783426066486532600"
RUN_20260707_190746_20PPV,002,6,RUN_20260707_190746_20PPV-002-6,1783426066543269000,SUCCESS,0,sipk/device1/data,"002,60.98,30.94,87.69,16.16,8.55,4.01,28.74,3.554607,98.610201,7.25,4.45,18.45,07/07/2026,19:07:46,RUN_20260707_190746_20PPV-002-6,1783426066543269000"
RUN_20260707_190746_20PPV,002,7,RUN_20260707_190746_20PPV-002-7,1783426066601428200,SUCCESS,0,sipk/device1/data,"002,85.58,31.66,88.99,59.34,3.78,1.52,24.79,3.621358,98.724607,9.26,0.96,20.03,07/07/2026,19:07:46,RUN_20260707_190746_20PPV-002-7,1783426066601428200"
RUN_20260707_190746_20PPV,002,8,RUN_20260707_190746_20PPV-002-8,1783426066658900600,SUCCESS,0,sipk/device1/data,"002,76.91,34.3,93.74,34.71,3.02,3.03,11.09,3.590485,98.701652,34.06,1.42,14.45,07/07/2026,19:07:46,RUN_20260707_190746_20PPV-002-8,1783426066658900600"
RUN_20260707_190746_20PPV,002,9,RUN_20260707_190746_20PPV-002-9,1783426066718026700,SUCCESS,0,sipk/device1/data,"002,80.79,31.95,89.51,5.6,3.91,1.48,14.17,3.631157,98.651659,29.73,0.11,26.18,07/07/2026,19:07:46,RUN_20260707_190746_20PPV-002-9,1783426066718026700"
RUN_20260707_190746_20PPV,002,10,RUN_20260707_190746_20PPV-002-10,1783426066774757000,SUCCESS,0,sipk/device1/data,"002,78.72,29.87,85.77,9.5,9.21,2.61,23.04,3.665416,98.67766,75.25,2.28,11.75,07/07/2026,19:07:46,RUN_20260707_190746_20PPV-002-10,1783426066774757000"
