received_at,topic,run_id,device_id,payload_number,message_id,send_timestamp_ns,api_status,api_response,raw_payload
2026-07-07 11:56:34.073560,sipk/device1/data,RUN_20260707_185634_2PPV,002,1,RUN_20260707_185634_2PPV-002-1,1783425394005637500,200,"{""device_id"":""002"",""latency_ms"":69.961587,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185634_2PPV-002-1"",""status"":""ok""}
","002,87.58,26.79,80.22,41.56,5.31,2.04,8.21,3.517387,98.712132,39.75,2.06,3.05,07/07/2026,18:56:34,RUN_20260707_185634_2PPV-002-1,1783425394005637500"
2026-07-07 11:56:34.131955,sipk/device1/data,RUN_20260707_185634_2PPV,002,2,RUN_20260707_185634_2PPV-002-2,1783425394064693300,200,"{""device_id"":""002"",""latency_ms"":69.39826,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185634_2PPV-002-2"",""status"":""ok""}
","002,89.78,34.86,94.75,50.09,2.82,4.0,6.54,3.560719,98.79118,36.36,2.92,5.48,07/07/2026,18:56:34,RUN_20260707_185634_2PPV-002-2,1783425394064693300"
2026-07-07 11:56:34.192965,sipk/device1/data,RUN_20260707_185634_2PPV,003,1,RUN_20260707_185634_2PPV-003-1,1783425394125653600,200,"{""device_id"":""003"",""latency_ms"":69.426305,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185634_2PPV-003-1"",""status"":""ok""}
","003,66.67,33.62,92.52,70.27,7.33,4.93,29.13,3.569461,98.683892,11.0,2.71,11.48,07/07/2026,18:56:34,RUN_20260707_185634_2PPV-003-1,1783425394125653600"
2026-07-07 11:56:34.250763,sipk/device1/data,RUN_20260707_185634_2PPV,003,2,RUN_20260707_185634_2PPV-003-2,1783425394183315900,200,"{""device_id"":""003"",""latency_ms"":69.559907,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185634_2PPV-003-2"",""status"":""ok""}
","003,80.68,33.95,93.11,11.98,8.47,2.14,24.9,3.530434,98.650901,40.45,3.37,28.84,07/07/2026,18:56:34,RUN_20260707_185634_2PPV-003-2,1783425394183315900"
2026-07-07 11:56:34.308913,sipk/device1/data,RUN_20260707_185634_2PPV,004,1,RUN_20260707_185634_2PPV-004-1,1783425394240100100,200,"{""device_id"":""004"",""latency_ms"":70.894243,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185634_2PPV-004-1"",""status"":""ok""}
","004,69.57,28.64,83.55,37.18,7.87,1.54,26.44,3.58274,98.553072,15.59,2.03,11.35,07/07/2026,18:56:34,RUN_20260707_185634_2PPV-004-1,1783425394240100100"
2026-07-07 11:56:34.366971,sipk/device1/data,RUN_20260707_185634_2PPV,004,2,RUN_20260707_185634_2PPV-004-2,1783425394299430100,200,"{""device_id"":""004"",""latency_ms"":69.705004,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185634_2PPV-004-2"",""status"":""ok""}
","004,77.6,26.51,79.72,63.32,9.34,3.28,13.65,3.602921,98.617376,62.56,2.5,21.18,07/07/2026,18:56:34,RUN_20260707_185634_2PPV-004-2,1783425394299430100"
2026-07-07 11:56:34.424671,sipk/device1/data,RUN_20260707_185634_2PPV,005,1,RUN_20260707_185634_2PPV-005-1,1783425394357148100,200,"{""device_id"":""005"",""latency_ms"":69.579322,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185634_2PPV-005-1"",""status"":""ok""}
","005,67.58,33.51,92.32,52.66,2.79,0.86,7.56,3.657873,98.672293,49.33,0.83,28.19,07/07/2026,18:56:34,RUN_20260707_185634_2PPV-005-1,1783425394357148100"
2026-07-07 11:56:34.481798,sipk/device1/data,RUN_20260707_185634_2PPV,005,2,RUN_20260707_185634_2PPV-005-2,1783425394414350100,200,"{""device_id"":""005"",""latency_ms"":69.609931,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185634_2PPV-005-2"",""status"":""ok""}
","005,66.73,33.45,92.21,6.72,4.51,4.77,28.23,3.678245,98.722339,10.29,1.8,3.23,07/07/2026,18:56:34,RUN_20260707_185634_2PPV-005-2,1783425394414350100"
2026-07-07 11:56:34.538769,sipk/device1/data,RUN_20260707_185634_2PPV,006,1,RUN_20260707_185634_2PPV-006-1,1783425394471432200,200,"{""device_id"":""006"",""latency_ms"":71.688457,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185634_2PPV-006-1"",""status"":""ok""}
","006,76.2,28.34,83.01,70.58,4.52,4.16,29.63,3.506852,98.553573,16.11,2.89,22.6,07/07/2026,18:56:34,RUN_20260707_185634_2PPV-006-1,1783425394471432200"
2026-07-07 11:56:34.596565,sipk/device1/data,RUN_20260707_185634_2PPV,006,2,RUN_20260707_185634_2PPV-006-2,1783425394529444800,200,"{""device_id"":""006"",""latency_ms"":69.261646,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185634_2PPV-006-2"",""status"":""ok""}
","006,65.81,29.07,84.33,52.95,6.66,1.77,9.62,3.512012,98.646053,43.77,4.9,9.38,07/07/2026,18:56:34,RUN_20260707_185634_2PPV-006-2,1783425394529444800"
