received_at,topic,run_id,device_id,payload_number,message_id,send_timestamp_ns,api_status,api_response,raw_payload
2026-07-07 11:55:05.192007,sipk/device1/data,RUN_20260707_185505_1PPV,002,1,RUN_20260707_185505_1PPV-002-1,1783425305122373600,200,"{""device_id"":""002"",""latency_ms"":73.584652,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185505_1PPV-002-1"",""status"":""ok""}
","002,70.29,33.02,91.44,13.73,2.51,4.79,19.39,3.520732,98.565238,32.05,2.08,13.55,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-002-1,1783425305122373600"
2026-07-07 11:55:05.251106,sipk/device1/data,RUN_20260707_185505_1PPV,003,1,RUN_20260707_185505_1PPV-003-1,1783425305182992800,200,"{""device_id"":""003"",""latency_ms"":70.591981,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185505_1PPV-003-1"",""status"":""ok""}
","003,66.94,31.22,88.2,16.86,8.84,4.28,27.47,3.555293,98.794346,10.18,4.39,16.79,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-003-1,1783425305182992800"
2026-07-07 11:55:05.311518,sipk/device1/data,RUN_20260707_185505_1PPV,004,1,RUN_20260707_185505_1PPV-004-1,1783425305244728700,200,"{""device_id"":""004"",""latency_ms"":68.943323,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185505_1PPV-004-1"",""status"":""ok""}
","004,61.94,30.49,86.88,67.24,8.98,2.25,3.55,3.512102,98.714274,64.16,4.0,5.29,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-004-1,1783425305244728700"
2026-07-07 11:55:05.367072,sipk/device1/data,RUN_20260707_185505_1PPV,005,1,RUN_20260707_185505_1PPV-005-1,1783425305300407400,200,"{""device_id"":""005"",""latency_ms"":68.96678,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185505_1PPV-005-1"",""status"":""ok""}
","005,74.4,34.42,93.96,27.38,4.01,4.37,7.95,3.679478,98.500683,66.59,4.33,27.97,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-005-1,1783425305300407400"
2026-07-07 11:55:05.422772,sipk/device1/data,RUN_20260707_185505_1PPV,006,1,RUN_20260707_185505_1PPV-006-1,1783425305356183300,200,"{""device_id"":""006"",""latency_ms"":68.83115,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185505_1PPV-006-1"",""status"":""ok""}
","006,81.83,30.7,87.26,21.24,4.18,4.7,10.24,3.658457,98.710241,76.21,4.97,9.12,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-006-1,1783425305356183300"
2026-07-07 11:55:05.477943,sipk/device1/data,RUN_20260707_185505_1PPV,007,1,RUN_20260707_185505_1PPV-007-1,1783425305411557800,200,"{""device_id"":""007"",""latency_ms"":68.522602,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185505_1PPV-007-1"",""status"":""ok""}
","007,65.57,31.68,89.02,16.11,4.37,0.49,9.13,3.512582,98.589833,69.23,0.42,11.73,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-007-1,1783425305411557800"
2026-07-07 11:55:05.534839,sipk/device1/data,RUN_20260707_185505_1PPV,008,1,RUN_20260707_185505_1PPV-008-1,1783425305468275200,200,"{""device_id"":""008"",""latency_ms"":68.841746,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185505_1PPV-008-1"",""status"":""ok""}
","008,72.29,29.69,85.44,8.64,9.08,2.81,25.82,3.553458,98.625123,27.14,3.58,23.31,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-008-1,1783425305468275200"
2026-07-07 11:55:05.590231,sipk/device1/data,RUN_20260707_185505_1PPV,009,1,RUN_20260707_185505_1PPV-009-1,1783425305523448700,200,"{""device_id"":""009"",""latency_ms"":69.008312,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185505_1PPV-009-1"",""status"":""ok""}
","009,69.04,26.84,80.31,79.32,8.62,4.66,25.76,3.515225,98.705172,9.14,3.14,5.6,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-009-1,1783425305523448700"
2026-07-07 11:55:05.646001,sipk/device1/data,RUN_20260707_185505_1PPV,010,1,RUN_20260707_185505_1PPV-010-1,1783425305579468300,200,"{""device_id"":""010"",""latency_ms"":68.621506,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185505_1PPV-010-1"",""status"":""ok""}
","010,60.89,33.08,91.54,48.09,3.39,0.26,17.1,3.66606,98.650792,8.73,3.19,8.09,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-010-1,1783425305579468300"
2026-07-07 11:55:05.702119,sipk/device1/data,RUN_20260707_185505_1PPV,011,1,RUN_20260707_185505_1PPV-011-1,1783425305635460100,200,"{""device_id"":""011"",""latency_ms"":68.711345,""message"":""Data diterima dan disimpan ke database VPS 2"",""message_id"":""RUN_20260707_185505_1PPV-011-1"",""status"":""ok""}
","011,63.54,28.04,82.47,72.08,8.28,0.66,6.6,3.609673,98.571969,65.13,0.58,6.53,07/07/2026,18:55:05,RUN_20260707_185505_1PPV-011-1,1783425305635460100"
